iter	Passed	Remaining
166	1066	5319
167	1073	5316
168	1080	5314
169	1087	5310
170	1095	5312
171	1103	5309
172	1109	5303
173	1115	5294
174	1120	5282
175	1126	5276
176	1134	5273
177	1139	5262
178	1145	5254
179	1153	5252
180	1159	5248
181	1166	5243
182	1173	5239
183	1180	5236
184	1187	5231
185	1194	5227
186	1200	5220
187	1207	5216
188	1214	5212
189	1221	5206
190	1227	5197
191	1233	5192
192	1240	5187
193	1248	5186
194	1254	5179
195	1260	5169
196	1267	5164
197	1273	5157
198	1279	5150
199	1285	5141
200	1291	5134
201	1297	5123
202	1303	5116
203	1309	5109
204	1315	5102
205	1322	5096
206	1328	5088
207	1334	5081
208	1340	5073
209	1346	5067
210	1353	5059
211	1359	5051
212	1365	5046
213	1372	5039
214	1378	5033
215	1384	5024
216	1389	5015
217	1395	5006
218	1402	4999
219	1407	4991
220	1414	4985
221	1420	4978
222	1427	4975
223	1434	4968
224	1440	4963
225	1446	4954
226	1452	4946
227	1458	4939
228	1464	4931
229	1470	4923
230	1476	4915
231	1482	4908
232	1488	4901
233	1494	4893
234	1500	4884
235	1506	4876
236	1512	4868
237	1518	4861
238	1524	4853
239	1530	4847
240	1536	4838
241	1542	4831
242	1547	4822
243	1554	4816
244	1560	4808
245	1566	4802
246	1573	4796
247	1580	4791
248	1586	4784
249	1592	4777
250	1599	4772
251	1605	4765
252	1611	4758
253	1617	4751
254	1623	4743
255	1630	4738
256	1636	4732
257	1642	4723
258	1648	4716
259	1655	4711
260	1661	4705
261	1669	4701
262	1674	4692
263	1680	4684
264	1686	4678
265	1692	4671
266	1698	4663
267	1705	4657
268	1712	4652
269	1720	4651
270	1726	4645
271	1732	4636
272	1737	4628
273	1743	4620
274	1749	4612
275	1755	4605
276	1761	4597
277	1767	4591
278	1774	4585
279	1780	4577
280	1786	4571
281	1792	4565
282	1799	4558
283	1806	4555
284	1812	4547
285	1818	4540
286	1824	4532
287	1830	4524
288	1836	4517
289	1842	4510
290	1848	4503
291	1853	4495
292	1859	4486
293	1865	4479
294	1871	4472
295	1877	4465
296	1883	4458
297	1889	4450
298	1895	4444
299	1901	4437
300	1908	4431
301	1914	4424
302	1920	4417
303	1925	4409
304	1932	4402
305	1937	4395
306	1943	4386
307	1949	4379
308	1955	4372
309	1961	4364
310	1966	4356
311	1972	4349
312	1978	4343
313	1984	4335
314	1989	4326
315	1996	4320
316	2001	4312
317	2008	4306
318	2013	4298
319	2019	4291
320	2025	4285
321	2031	4278
322	2038	4271
323	2044	4265
324	2050	4258
325	2056	4252
326	2063	4246
327	2069	4239
328	2075	4233
329	2081	4226
330	2087	4220
331	2093	4213
332	2099	4205
333	2105	4198
334	2111	4191
335	2117	4184
336	2123	4177
337	2129	4171
338	2136	4165
339	2142	4158
340	2147	4151
341	2154	4145
342	2161	4140
343	2167	4132
344	2172	4125
345	2179	4119
346	2185	4112
347	2192	4108
348	2199	4101
349	2205	4095
350	2211	4089
351	2218	4084
352	2224	4077
353	2230	4071
354	2237	4064
355	2243	4058
356	2249	4051
357	2256	4045
358	2262	4039
359	2268	4032
360	2274	4026
361	2281	4021
362	2287	4014
363	2294	4008
364	2300	4002
365	2306	3995
366	2312	3989
367	2319	3983
368	2326	3977
369	2332	3970
370	2338	3964
371	2344	3957
372	2350	3951
373	2357	3945
374	2363	3939
375	2369	3933
376	2376	3927
377	2383	3922
378	2390	3916
379	2396	3910
380	2403	3904
381	2409	3897
382	2414	3890
383	2420	3883
384	2427	3878
385	2436	3875
386	2442	3868
387	2448	3861
388	2454	3854
389	2460	3848
390	2466	3841
391	2472	3835
392	2479	3829
393	2485	3822
394	2491	3816
395	2498	3810
396	2503	3802
397	2509	3796
398	2516	3789
399	2523	3784
400	2529	3778
401	2536	3772
402	2541	3765
403	2548	3759
404	2554	3752
405	2560	3746
406	2567	3740
407	2573	3733
408	2580	3728
409	2586	3722
410	2592	3715
411	2598	3708
412	2604	3701
413	2610	3695
414	2617	3689
415	2623	3682
416	2629	3676
417	2635	3670
418	2642	3664
419	2648	3656
420	2653	3649
421	2660	3643
422	2666	3637
423	2673	3631
424	2682	3629
425	2689	3623
426	2695	3617
427	2700	3609
428	2707	3603
429	2712	3596
430	2719	3589
431	2725	3583
432	2731	3576
433	2737	3570
434	2744	3564
435	2750	3557
436	2756	3551
437	2762	3544
438	2768	3538
439	2774	3531
440	2780	3525
441	2787	3518
442	2793	3512
443	2799	3505
444	2805	3499
445	2811	3492
446	2817	3485
447	2826	3482
448	2832	3476
449	2838	3469
450	2844	3462
451	2850	3456
452	2857	3450
453	2864	3444
454	2870	3437
455	2875	3430
456	2882	3424
457	2888	3417
458	2894	3411
459	2900	3405
460	2907	3399
461	2913	3392
462	2919	3386
463	2925	3379
464	2932	3373
465	2938	3367
466	2945	3361
467	2952	3356
468	2958	3349
469	2964	3343
470	2970	3336
471	2976	3329
472	2982	3322
473	2987	3315
474	2993	3308
475	2999	3302
476	3005	3295
477	3012	3289
478	3018	3283
479	3025	3277
480	3030	3270
481	3036	3263
482	3043	3257
483	3048	3249
484	3053	3242
485	3060	3236
486	3066	3230
487	3072	3223
488	3078	3217
489	3085	3211
490	3091	3204
491	3098	3199
492	3104	3192
493	3110	3186
494	3116	3179
495	3123	3173
496	3129	3167
497	3135	3160
498	3141	3154
499	3147	3147
500	3154	3141
501	3159	3134
502	3165	3127
503	3171	3121
504	3177	3114
505	3183	3107
506	3189	3101
507	3195	3094
508	3201	3088
509	3208	3082
510	3213	3075
511	3219	3068
512	3225	3062
513	3232	3056
514	3238	3049
515	3244	3042
516	3251	3037
517	3257	3031
518	3263	3024
519	3269	3017
520	3275	3011
521	3281	3005
522	3288	2999
523	3294	2992
524	3299	2985
525	3306	2979
526	3312	2972
527	3318	2966
528	3325	2960
529	3331	2954
530	3337	2947
531	3344	2942
532	3350	2935
533	3356	2929
534	3363	2923
535	3369	2917
536	3375	2910
537	3381	2903
538	3387	2896
539	3393	2890
540	3399	2884
541	3406	2878
542	3412	2871
543	3417	2865
544	3424	2858
545	3430	2852
546	3435	2845
547	3441	2838
548	3447	2832
549	3453	2825
550	3459	2819
551	3465	2812
552	3471	2806
553	3479	2801
554	3485	2794
555	3490	2787
556	3496	2781
557	3504	2775
558	3510	2769
559	3517	2763
560	3524	2758
561	3530	2751
562	3535	2744
563	3542	2738
564	3548	2731
565	3555	2725
566	3561	2719
567	3568	2714
568	3575	2708
569	3581	2701
570	3587	2695
571	3594	2689
572	3600	2683
573	3606	2676
574	3613	2670
575	3620	2664
576	3626	2658
577	3631	2651
578	3638	2645
579	3648	2642
580	3655	2635
581	3661	2629
582	3668	2623
583	3674	2617
584	3679	2610
585	3685	2603
586	3691	2597
587	3697	2590
588	3703	2584
589	3709	2577
590	3715	2571
591	3721	2564
592	3727	2558
593	3732	2551
594	3739	2545
595	3746	2539
596	3753	2533
597	3758	2526
598	3764	2520
599	3771	2514
600	3777	2508
601	3784	2502
602	3791	2496
603	3797	2489
604	3806	2485
605	3813	2479
606	3819	2473
607	3827	2467
608	3836	2462
609	3842	2456
610	3849	2450
611	3855	2444
612	3861	2438
613	3868	2432
614	3875	2426
615	3882	2420
616	3890	2414
617	3897	2408
618	3905	2403
619	3912	2398
620	3920	2392
621	3926	2386
622	3933	2380
623	3939	2374
624	3946	2367
625	3952	2361
626	3958	2354
627	3964	2348
628	3970	2341
629	3976	2335
630	3982	2328
631	3988	2322
632	3994	2316
633	4000	2309
634	4007	2303
635	4013	2296
636	4020	2291
637	4026	2284
638	4031	2277
639	4038	2271
640	4044	2265
641	4051	2259
642	4057	2252
643	4063	2246
644	4069	2239
645	4075	2233
646	4082	2227
647	4088	2221
648	4094	2214
649	4100	2208
650	4107	2201
651	4113	2195
652	4119	2188
653	4125	2182
654	4131	2176
655	4137	2169
656	4143	2163
657	4149	2156
658	4155	2150
659	4161	2143
660	4166	2136
661	4173	2130
662	4179	2124
663	4185	2118
664	4192	2111
665	4197	2105
666	4203	2098
667	4209	2092
668	4215	2085
669	4222	2079
670	4228	2073
671	4235	2067
672	4242	2061
673	4249	2055
674	4255	2048
675	4262	2042
676	4268	2036
677	4276	2030
678	4283	2025
679	4290	2019
680	4298	2013
681	4304	2007
682	4310	2000
683	4317	1994
684	4323	1988
685	4330	1982
686	4336	1975
687	4341	1968
688	4346	1962
689	4352	1955
690	4359	1949
691	4364	1942
692	4370	1936
693	4376	1929
694	4383	1923
695	4389	1917
696	4395	1910
697	4401	1904
698	4407	1897
699	4413	1891
700	4418	1884
701	4424	1878
702	4430	1871
703	4436	1865
704	4441	1858
705	4447	1852
706	4454	1845
707	4459	1839
708	4465	1832
709	4472	1826
710	4478	1820
711	4485	1814
712	4491	1807
713	4497	1801
714	4504	1795
715	4511	1789
716	4517	1782
717	4523	1776
718	4530	1770
719	4536	1764
720	4543	1757
721	4549	1751
722	4554	1744
723	4560	1738
724	4567	1732
725	4574	1726
726	4581	1720
727	4587	1714
728	4593	1707
729	4600	1701
730	4607	1695
731	4615	1689
732	4621	1683
733	4627	1676
734	4632	1670
735	4638	1663
736	4645	1657
737	4652	1651
738	4657	1645
739	4663	1638
740	4669	1632
741	4675	1625
742	4681	1619
743	4687	1612
744	4692	1606
745	4699	1600
746	4704	1593
747	4711	1587
748	4717	1580
749	4723	1574
750	4729	1568
751	4736	1561
752	4742	1555
753	4748	1549
754	4756	1543
755	4762	1537
756	4768	1530
757	4774	1524
758	4779	1517
759	4785	1511
760	4791	1504
761	4797	1498
762	4803	1492
763	4809	1485
764	4816	1479
765	4822	1473
766	4827	1466
767	4833	1460
768	4840	1453
769	4845	1447
770	4852	1441
771	4858	1434
772	4864	1428
773	4870	1422
774	4876	1415
775	4881	1409
776	4888	1402
777	4893	1396
778	4899	1389
779	4905	1383
780	4910	1377
781	4916	1370
782	4922	1364
783	4928	1357
784	4934	1351
785	4940	1345
786	4946	1338
787	4953	1332
788	4959	1326
789	4965	1319
790	4970	1313
791	4977	1307
792	4984	1301
793	4990	1294
794	4996	1288
795	5002	1282
796	5008	1275
797	5014	1269
798	5021	1263
799	5027	1256
800	5033	1250
801	5040	1244
802	5046	1237
803	5051	1231
804	5057	1225
805	5063	1218
806	5069	1212
807	5076	1206
808	5081	1199
809	5087	1193
810	5093	1187
811	5099	1180
812	5105	1174
813	5111	1167
814	5116	1161
815	5122	1155
816	5128	1148
817	5134	1142
818	5140	1136
819	5146	1129
820	5153	1123
821	5159	1117
822	5164	1110
823	5170	1104
824	5176	1097
825	5181	1091
826	5187	1085
827	5194	1078
828	5200	1072
829	5206	1066
830	5212	1060
831	5219	1054
832	5226	1047
833	5232	1041
834	5239	1035
835	5246	1029
836	5252	1022
837	5258	1016
838	5264	1010
839	5271	1004
840	5277	997
841	5284	991
842	5291	985
843	5297	979
844	5303	972
845	5309	966
846	5315	960
847	5322	953
848	5328	947
849	5334	941
850	5340	935
851	5346	928
852	5352	922
853	5358	916
854	5364	909
855	5370	903
856	5377	897
857	5382	890
858	5389	884
859	5395	878
860	5402	872
861	5408	865
862	5415	859
863	5422	853
864	5428	847
865	5433	840
866	5440	834
867	5446	828
868	5451	821
869	5457	815
870	5464	809
871	5471	803
872	5477	796
873	5484	790
874	5490	784
875	5497	778
876	5505	772
877	5511	765
878	5517	759
879	5523	753
880	5531	747
881	5538	740
882	5544	734
883	5550	728
884	5556	722
885	5562	715
886	5568	709
887	5574	703
888	5588	697
889	5594	691
890	5600	685
891	5606	678
892	5612	672
893	5618	666
894	5624	659
895	5630	653
896	5637	647
897	5643	640
898	5649	634
899	5655	628
900	5662	622
901	5669	616
902	5676	609
903	5684	603
904	5690	597
905	5696	591
906	5702	584
907	5709	578
908	5715	572
909	5720	565
910	5727	559
911	5732	553
912	5739	546
913	5745	540
914	5752	534
915	5758	528
916	5763	521
917	5770	515
918	5776	509
919	5783	502
920	5789	496
921	5794	490
922	5801	484
923	5807	477
924	5814	471
925	5820	465
926	5826	458
927	5832	452
928	5839	446
929	5845	439
930	5851	433
931	5857	427
932	5863	421
933	5870	414
934	5875	408
935	5881	402
936	5889	395
937	5895	389
938	5901	383
939	5907	377
940	5914	370
941	5920	364
942	5926	358
943	5932	351
944	5938	345
945	5945	339
946	5950	333
947	5957	326
948	5963	320
949	5969	314
950	5976	307
951	5983	301
952	5989	295
953	5995	289
954	6000	282
955	6007	276
956	6012	270
957	6018	263
958	6025	257
959	6030	251
960	6036	244
961	6042	238
962	6048	232
963	6055	226
964	6061	219
965	6067	213
966	6072	207
967	6079	200
968	6085	194
969	6091	188
970	6097	182
971	6103	175
972	6109	169
973	6114	163
974	6121	156
975	6126	150
976	6132	144
977	6138	138
978	6144	131
979	6150	125
980	6155	119
981	6161	112
982	6168	106
983	6173	100
984	6179	94
985	6187	87
986	6194	81
987	6202	75
988	6209	69
989	6215	62
990	6222	56
991	6229	50
992	6236	43
993	6242	37
994	6248	31
995	6255	25
996	6262	18
997	6269	12
998	6275	6
999	6281	0
