iter	RMSE
348	0.0889027699
349	0.08880525726
350	0.08869963985
351	0.08861208761
352	0.08850755627
353	0.08840074946
354	0.08833274149
355	0.08825528598
356	0.08814705368
357	0.08802128977
358	0.08795142933
359	0.08783478995
360	0.08774309962
361	0.08766837358
362	0.08758981013
363	0.08747338761
364	0.0873899899
365	0.08731331319
366	0.08723153635
367	0.0871274865
368	0.0869968696
369	0.08690115559
370	0.08681958106
371	0.08674640397
372	0.08669021188
373	0.08660624054
374	0.08654989206
375	0.08651434008
376	0.08645240693
377	0.08639027719
378	0.08632054932
379	0.08624656078
380	0.08616007366
381	0.08602657341
382	0.08593371508
383	0.08585608909
384	0.08576710087
385	0.08569102926
386	0.08561994883
387	0.08550794349
388	0.08544297392
389	0.08537581327
390	0.08531508051
391	0.08524542408
392	0.08515414831
393	0.0851105559
394	0.08502020963
395	0.08496845575
396	0.08487292836
397	0.08479464793
398	0.08470960026
399	0.08464201547
400	0.08455494189
401	0.08446088878
402	0.08437712849
403	0.08429717227
404	0.08421467039
405	0.08415947942
406	0.08408697017
407	0.08401528691
408	0.08393515049
409	0.08385713177
410	0.083818319
411	0.08374577808
412	0.08365800705
413	0.08357981547
414	0.08350402804
415	0.08344126964
416	0.08336544021
417	0.08330376503
418	0.08325817569
419	0.08319622278
420	0.08313397426
421	0.08307535195
422	0.08302511548
423	0.08298369465
424	0.08290254327
425	0.08284550256
426	0.08276070477
427	0.08269914217
428	0.08262272138
429	0.08255985914
430	0.08251311936
431	0.08242645881
432	0.08233002436
433	0.08224197215
434	0.08219345227
435	0.0821000165
436	0.08203281387
437	0.08198148214
438	0.08191415675
439	0.08183360586
440	0.08176715043
441	0.08170214184
442	0.08160457302
443	0.08155605682
444	0.08145856889
445	0.08141559701
446	0.08136275987
447	0.08128625854
448	0.08126036225
449	0.08121191393
450	0.08117006426
451	0.08111744333
452	0.0810335673
453	0.08096398682
454	0.080935131
455	0.08086423644
456	0.08081533291
457	0.08076321413
458	0.08068991412
459	0.08061468483
460	0.08054130681
461	0.08047388961
462	0.08043914495
463	0.0803500689
464	0.08028696267
465	0.08025541404
466	0.08018647609
467	0.08012170841
468	0.08004636538
469	0.08000650964
470	0.0799400245
471	0.07985856351
472	0.07978827399
473	0.07971168981
474	0.07964094443
475	0.07960027143
476	0.07954418066
477	0.07951293836
478	0.07945423863
479	0.07939257049
480	0.0793221465
481	0.07925863956
482	0.07915936126
483	0.07908206422
484	0.07900040627
485	0.07893343642
486	0.07888430715
487	0.07881287246
488	0.07875478441
489	0.07870279803
490	0.07864431305
491	0.07857684669
492	0.07852660033
493	0.07849263516
494	0.07841928797
495	0.07834463683
496	0.07829147515
497	0.07821338937
498	0.07817983634
499	0.07812026433
500	0.07804851848
501	0.07798768961
502	0.07791210762
503	0.07782849671
504	0.07778727043
505	0.07771591151
506	0.07764528175
507	0.07757380011
508	0.07754531238
509	0.07746735095
510	0.07740056074
511	0.07734156935
512	0.07729145422
513	0.07720754893
514	0.07715651198
515	0.07709414541
516	0.07703969779
517	0.07699193841
518	0.07694635667
519	0.07692713131
520	0.07685506747
521	0.07677340476
522	0.0767098396
523	0.07667606986
524	0.07663045957
525	0.07659086787
526	0.07652609446
527	0.07645959975
528	0.07641520822
529	0.07633154179
530	0.07629533453
531	0.07624121583
532	0.07618962024
533	0.0761563679
534	0.07607729689
535	0.07604195603
536	0.07597868045
537	0.07595057009
538	0.07590007441
539	0.0758496781
540	0.07581521987
541	0.07571674415
542	0.07566034901
543	0.07557672406
544	0.07551361259
545	0.07548540224
546	0.07543097443
547	0.07535136024
548	0.07529143585
549	0.07523015538
550	0.07521082329
551	0.07513858809
552	0.07512016397
553	0.07506057503
554	0.0750296702
555	0.07495259764
556	0.07492023721
557	0.07483952851
558	0.07478373811
559	0.07473164105
560	0.07471130607
561	0.07464288054
562	0.07457398914
563	0.07451442372
564	0.07445773743
565	0.07439631551
566	0.07434828417
567	0.07426760788
568	0.07419635406
569	0.07415203167
570	0.07408181782
571	0.07403238138
572	0.07398195807
573	0.0739109594
574	0.07388275668
575	0.07383224915
576	0.07375705249
577	0.07370146959
578	0.07363764076
579	0.07359979991
580	0.07353305214
581	0.07348323052
582	0.0734529321
583	0.07340652116
584	0.07339109631
585	0.07335476777
586	0.07327778956
587	0.07326280054
588	0.07320509809
589	0.07314923251
590	0.07310586768
591	0.07303734735
592	0.07297898947
593	0.07293023397
594	0.07290024774
595	0.07288020346
596	0.07283915936
597	0.07279526394
598	0.07274071236
599	0.07264803963
600	0.07260497755
601	0.07256493235
602	0.07252174202
603	0.07248850102
604	0.07244812974
605	0.07238382994
606	0.072340751
607	0.07229421894
608	0.07223229616
609	0.07218299117
610	0.07214882094
611	0.07210881928
612	0.07205716941
613	0.07200756087
614	0.0719453933
615	0.07189552171
616	0.07186544691
617	0.07182016367
618	0.07177336244
619	0.07171548488
620	0.07165916128
621	0.0715972735
622	0.0715562057
623	0.07150350082
624	0.07147088497
625	0.0714217597
626	0.07138105698
627	0.07132714368
628	0.07130049445
629	0.07121814542
630	0.0711720205
631	0.07108922551
632	0.07103327427
633	0.07100543225
634	0.07095026057
635	0.07090294799
636	0.07084053424
637	0.07077299439
638	0.07072791235
639	0.07068273432
640	0.07065416021
641	0.07062398148
642	0.07056444015
643	0.07054236467
644	0.07046209124
645	0.07041326993
646	0.07038674821
647	0.0703150314
648	0.07026409161
649	0.07020081614
650	0.07015086229
651	0.07008769187
652	0.07006220262
653	0.07001199096
654	0.06997297963
655	0.0699065527
656	0.06986108811
657	0.06984939778
658	0.06977956959
659	0.06976941022
660	0.06971205308
661	0.06965597296
662	0.0696054117
663	0.06959572323
664	0.06955281598
665	0.06951240991
666	0.06949513193
667	0.06944543769
668	0.06939442538
669	0.06933316917
670	0.06928187748
671	0.06922125386
672	0.06914700659
673	0.06910099922
674	0.06899919672
675	0.06893329604
676	0.06887941143
677	0.06884198763
678	0.06879759797
679	0.06872931745
680	0.06867752504
681	0.0686231889
682	0.06856600892
683	0.06851897147
684	0.0684515088
685	0.06841117769
686	0.06836704695
687	0.06831675518
688	0.06827076382
689	0.06822045831
690	0.06817550337
691	0.06814126111
692	0.06809780066
693	0.06804826511
694	0.06800431608
695	0.06799499491
696	0.0679419573
697	0.06791628499
698	0.06787082463
699	0.06781492107
700	0.06775669535
701	0.06773568067
702	0.06767794775
703	0.06763672727
704	0.06758690755
705	0.06754695078
706	0.0674875014
707	0.06747657483
708	0.06743545713
709	0.06738496672
710	0.06732624048
711	0.06727256581
712	0.06726155098
713	0.06718181607
714	0.06715096152
715	0.06709241523
716	0.06705271301
717	0.06701095647
718	0.06698390428
719	0.06694497637
720	0.06692468003
721	0.06687115923
722	0.06681060483
723	0.06677055308
724	0.06674497233
725	0.06670010404
726	0.06666597142
727	0.0666359402
728	0.06660529145
729	0.06654855524
730	0.06650772776
731	0.06645065805
732	0.06639371049
733	0.06635836552
734	0.0663091836
735	0.06629924562
736	0.06626375537
737	0.06623797568
738	0.0661963387
739	0.06613563698
740	0.06612651548
741	0.06609429314
742	0.06604422665
743	0.06600258426
744	0.06596157861
745	0.06590789805
746	0.0658649745
747	0.06582885331
748	0.06579386076
749	0.06574877653
750	0.06573559392
751	0.06569400722
752	0.06562200175
753	0.06557574968
754	0.06548696086
755	0.06544779017
756	0.06540134823
757	0.06531844861
758	0.06528699184
759	0.06524209093
760	0.06520641216
761	0.06514503875
762	0.06511145165
763	0.06505739737
764	0.06500645608
765	0.06497418737
766	0.06492960095
767	0.06490536537
768	0.06489176917
769	0.06484532583
770	0.06481022559
771	0.06474186619
772	0.06473009696
773	0.06470626455
774	0.06466362076
775	0.06462197074
776	0.06459515017
777	0.06456055528
778	0.06451572098
779	0.06446484402
780	0.06445402153
781	0.06444122264
782	0.06439609517
783	0.06432581453
784	0.06428576358
785	0.06425601101
786	0.06421995897
787	0.06417909465
788	0.06413555968
789	0.06409911904
790	0.06407145434
791	0.06403773499
792	0.06402897528
793	0.06399106788
794	0.06397070719
795	0.06394766895
796	0.06392843157
797	0.06388528877
798	0.06381810433
799	0.06377983954
800	0.06377142025
801	0.06373561465
802	0.06369904784
803	0.06364005776
804	0.06360373507
805	0.06356246823
806	0.06353730344
807	0.06353076287
808	0.06348812781
809	0.06345256254
810	0.06342543052
811	0.06341051457
812	0.06337746584
813	0.06334122182
814	0.06331792914
815	0.06329207145
816	0.06323913225
817	0.06319661695
818	0.06316047567
819	0.06311760597
820	0.06308439376
821	0.06305011271
822	0.06301440352
823	0.06300538834
824	0.06297965481
825	0.06293702393
826	0.06288242782
827	0.06287462261
828	0.06282889382
829	0.06279208126
830	0.06277950937
831	0.06272593839
832	0.06270669439
833	0.06266635277
834	0.06264317912
835	0.06257073204
836	0.06253094351
837	0.06246014218
838	0.06243400204
839	0.06239200819
840	0.06235504196
841	0.06231823231
842	0.06230858172
843	0.06226907994
844	0.06222838896
845	0.06218968144
846	0.06216018371
847	0.06211396634
848	0.0620893972
849	0.06205593079
850	0.06202653764
851	0.06198485079
852	0.06193663012
853	0.06189644223
854	0.06186618164
855	0.06182538764
856	0.06180029827
857	0.06177172573
858	0.0617340486
859	0.06169911397
860	0.06167483946
861	0.0616309369
862	0.0615781753
863	0.06157065923
864	0.06154741857
865	0.06151455818
866	0.06150361108
867	0.06149802652
868	0.0614570113
869	0.06140863472
870	0.06137316225
871	0.061335064
872	0.06129109122
873	0.06124027512
874	0.06120334548
875	0.06117876029
876	0.06115847767
877	0.06111618189
878	0.06107816431
879	0.0610253194
880	0.0609915785
881	0.06095700852
882	0.06091256599
883	0.06086544256
884	0.0608351629
885	0.06078761836
886	0.06074594116
887	0.06071622846
888	0.06067985617
889	0.06063245845
890	0.06059644293
891	0.06058345901
892	0.06055802873
893	0.06055285429
894	0.06051695081
895	0.06046737593
896	0.06043907136
897	0.06038141344
898	0.06034756492
899	0.0603102434
900	0.06029813909
901	0.06026241691
902	0.06021797549
903	0.06018453543
904	0.0601413215
905	0.06010989046
906	0.06007090236
907	0.06003670078
908	0.0599984203
909	0.05999347754
910	0.05995073831
911	0.05992939108
912	0.05989522
913	0.05985117475
914	0.05981520376
915	0.05977497806
916	0.05973898306
917	0.05972257191
918	0.05966560073
919	0.05962670928
920	0.05958541255
921	0.0595232592
922	0.05948813933
923	0.05945556019
924	0.05942629587
925	0.05938880931
926	0.05935097896
927	0.05931330149
928	0.05925947656
929	0.05923009061
930	0.05919226138
931	0.05916718938
932	0.05910614614
933	0.05907203503
934	0.05904418477
935	0.05899283571
936	0.05894427225
937	0.0589146133
938	0.05888467763
939	0.05884348745
940	0.05881305849
941	0.05879999551
942	0.05876007146
943	0.05874755315
944	0.05869399132
945	0.05864688514
946	0.05860436482
947	0.05856206855
948	0.05852376363
949	0.05848761938
950	0.05845630298
951	0.05841596816
952	0.0583555565
953	0.05833284874
954	0.05831958847
955	0.05827267302
956	0.05824712697
957	0.05820406227
958	0.05817116087
959	0.05816214363
960	0.05809278213
961	0.05807353879
962	0.05805823136
963	0.05801370219
964	0.05796826878
965	0.05793345792
966	0.05790867013
967	0.05786075901
968	0.05783102978
969	0.05777302977
970	0.0577479434
971	0.05771955285
972	0.05769600961
973	0.05764615595
974	0.057619504
975	0.05758969339
976	0.05758415228
977	0.05755441124
978	0.05752328445
979	0.05749776083
980	0.0574732483
981	0.05743145999
982	0.05741065232
983	0.05738092906
984	0.05735457306
985	0.05732319431
986	0.05728186218
987	0.05725241295
988	0.0572166655
989	0.05718402813
990	0.05716007116
991	0.05711235037
992	0.05706840141
993	0.05704127788
994	0.05700205892
995	0.05696000267
996	0.056926583
997	0.05690335647
998	0.05686459397
999	0.05679393055
